ID_ORDER,DTE_ORDER,ID_CUSTOMER,ID_PART,QTY_ORDERED,AMT_TOTAL,REF_PAYMENT_METHOD,DTE_DELIVERY_EST,DES_ORDER_NOTE,CAT_ORDER_TYPE,TYP_CUSTOMER_SEGMENT,REF_DISCOUNT_CODE,QTY_UNITS_BACKORDER,TST_INSERTION,AUD_USR_INSERT
ORD00001,INVALID_DATE,CUST981,PART1588,X,881.84,TRANSFER,2025-07-05,,MARKETPLACE,B2C,SUMMER20,2,2024-09-07T19:49:17,smithlaura
ORD00002,2025-02-12,CUST686,PART1995,X,696.81,,2025-07-05,,PHONE,B2C,,3,2025-02-07T12:02:21,smithkevin
ORD00003,2025-01-11,CUST496,PART1277,X,1974.22,CRYPTO,,Military bed effect address exist instead.,PHONE,B2C,INVALID,N/A,2024-11-10T11:40:42,elizabethpatrick
ORD00004,INVALID_DATE,CUST767,PART1771,null,3489.17,CASH,2025-07-01,Watch himself happen.,PHONE,B2B,,1,2024-11-13T19:10:56,vspencer
ORD00005,INVALID_DATE,,PART1527,-3,4510.61,CASH,2025-07-06,Offer civil three than could onto politics.,PHONE,,SUMMER20,0,2025-05-07T11:32:39,jmora
ORD00006,2025-02-19,CUST676,PART1454,X,4434.64,CARD,2025-07-13,Myself apply apply newspaper system.,STORE,B2C,BLACKFRIDAY,,2025-01-10T22:31:32,ffernandez
ORD00007,2024-09-23,CUST160,PART1580,X,2489.57,CARD,2025-07-16,Let laugh stock office while teach you forget.,,VIP,BLACKFRIDAY,,2025-04-17T03:17:31,faulknerderek
ORD00008,2024-08-05,CUST540,PART1396,-3,4831.62,CARD,,Know something five air you conference.,MARKETPLACE,VIP,,,2025-01-15T13:13:30,daniel74
ORD00009,2025-02-23,CUST563,PART1694,-3,3074.11,CASH,2025-07-03,Surface argue throughout little.,STORE,,,2,2024-12-03T12:20:51,gordonmariah
ORD00010,2025-01-01,CUST439,PART1994,X,3257.31,CARD,,Leader Democrat itself within.,,B2C,,,2025-06-02T01:23:56,slevine
ORD00011,2024-12-13,CUST564,ERROR,8,4199.77,CARD,2025-07-19,Continue produce book land yard.,PHONE,VIP,SUMMER20,1,2025-01-20T00:03:05,rweaver
ORD00012,INVALID_DATE,CUST666,PART1940,-3,708.92,TRANSFER,,Guy government past.,,VIP,,0,2024-12-09T23:02:48,brewertanya
ORD00013,2024-09-12,CUST464,PART1206,-3,967.49,CASH,2025-06-24,,ONLINE,B2B,SUMMER20,0,2024-11-18T19:59:44,nathan35
ORD00014,2024-09-02,CUST702,PART1122,4,3940.31,TRANSFER,2025-07-05,Truth indeed plant use week even everybody.,MARKETPLACE,B2B,,N/A,2025-05-30T05:57:54,ashley70
ORD00015,2025-05-10,CUST738,PART1556,1,4348.68,CRYPTO,,Agency son crime where street.,MARKETPLACE,REGULAR,BLACKFRIDAY,3,2024-08-06T02:55:35,amanda15
ORD00016,2024-12-04,CUST700,PART1901,null,3924.36,,,Minute newspaper top paper top kid.,ONLINE,VIP,BLACKFRIDAY,N/A,2024-11-26T18:08:58,nealkyle
ORD00017,2024-08-03,CUST563,PART1085,X,2339.34,CRYPTO,,Meet training marriage organization body.,ONLINE,REGULAR,BLACKFRIDAY,,2025-01-11T04:41:36,nunderwood
ORD00018,2025-02-16,CUST617,PART1135,X,1421.33,CRYPTO,,,,,,,2025-03-25T06:48:07,malikthomas
ORD00019,INVALID_DATE,CUST545,ERROR,4,768.48,CASH,2025-07-20,Get call site hope just one focus.,ONLINE,B2B,,1,2024-11-22T09:45:54,alison63
ORD00020,2024-12-29,CUST102,PART1364,X,2410.49,CARD,2025-07-17,,ONLINE,B2C,INVALID,N/A,2025-04-18T23:18:59,craighunt
ORD00021,2025-01-01,CUST607,PART1750,null,420.98,TRANSFER,,Way south very impact world.,,VIP,INVALID,0,2025-02-23T09:11:22,pagepamela
ORD00022,2025-05-22,CUST871,PART1518,null,1766.65,CASH,2025-07-11,Thus quality trip relate.,ONLINE,,INVALID,N/A,2024-06-27T17:45:09,antoniomoore
ORD00023,INVALID_DATE,CUST991,PART1284,X,398.64,,2025-06-26,Close article social president appear.,STORE,,BLACKFRIDAY,1,2025-05-23T19:50:16,hballard
ORD00024,INVALID_DATE,,PART1681,null,3837.32,TRANSFER,2025-07-08,Sing tell want current plan region.,,B2C,BLACKFRIDAY,2,2025-03-29T04:39:54,marydean
ORD00025,2025-02-24,,PART1969,-3,1055.65,,2025-07-04,Drop whether kid player direction ball size.,,B2C,INVALID,1,2024-10-26T02:05:19,dharrison
ORD00026,2025-02-21,,PART1335,null,309.78,,2025-07-02,,MARKETPLACE,B2C,,2,2025-01-23T16:16:20,ugreene
ORD00027,2024-07-12,CUST205,PART1367,X,ERROR,,2025-07-22,Again positive figure board discussion right.,MARKETPLACE,,SUMMER20,N/A,2024-09-08T18:58:45,richardsnyder
ORD00028,2024-09-16,CUST962,PART1360,null,1403.26,CASH,2025-07-04,Gun thank family color young couple.,ONLINE,REGULAR,,3,2025-04-20T13:22:38,wnorton
ORD00029,2024-07-13,CUST709,PART1989,6,,TRANSFER,,,MARKETPLACE,B2C,BLACKFRIDAY,N/A,2025-02-14T02:35:10,isaac96
ORD00030,INVALID_DATE,,PART1481,X,1798.2,CASH,2025-07-16,Take particular detail little.,PHONE,REGULAR,BLACKFRIDAY,0,2025-06-09T00:49:22,taylornancy
ORD00031,2025-03-12,CUST179,PART1005,X,1226.0,,2025-06-24,,PHONE,VIP,BLACKFRIDAY,2,2024-11-21T16:03:17,blarsen
ORD00032,2025-04-19,CUST895,ERROR,1,1331.69,,2025-06-30,Again head time stay claim because machine.,MARKETPLACE,REGULAR,,0,2025-05-01T05:58:50,omartinez
ORD00033,2024-09-25,CUST406,PART1457,-3,4916.29,CARD,2025-06-29,Quite half somebody right consumer.,STORE,,SUMMER20,3,2024-11-21T04:01:54,leecharles
ORD00034,2024-08-17,CUST343,PART1805,null,3280.38,,2025-06-25,Page at agent save possible course.,STORE,B2C,SUMMER20,N/A,2025-03-04T02:32:36,weavermegan
ORD00035,INVALID_DATE,CUST386,PART1827,X,1245.09,CASH,,Dog respond make. Plan hit about know available.,MARKETPLACE,VIP,INVALID,0,2025-02-19T12:02:47,perkinspeter
ORD00036,2025-05-21,CUST686,PART1135,null,4570.66,TRANSFER,2025-07-07,,,,SUMMER20,3,2025-04-21T19:31:54,garciaamanda
